Timestamp,BB,JJ,FF,MM,DD,HH,AA,II,PnL,Cum PnL,BBJJ PnL,BBJJ Cum PnL,FFMM PnL,FFMM Cum PnL,DDHH PnL,DDHH Cum PnL,AAII PnL,AAII Cum PnL
27/02/2018 00:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 00:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 01:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 02:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
